Carrera,Estudiantes femeninos,Estudiantes masculinos,Cuatrimestre,Año,,,,
Tecnólogo en Seguridad Informática,59,319,Mayo - Agosto,2019,,,,
Tecnólogo en Mecatrónica,41,331,Mayo - Agosto,2019,,,,
Tecnólogo en Redes de Información,40,285,Mayo - Agosto,2019,,,,
Tecnólogo en Sonido,3,66,Mayo - Agosto,2019,,,,
Tecnólogo en Diseño Industrial,2,2,Mayo - Agosto,2019,,,,
Tecnólogo en Multimedia,179,306,Septiembre- Diciembre,2019,,,,
Tecnólogo en Manufactura Automatizada,9,47,Septiembre- Diciembre,2019,,,,
Tecnólogo en Desarrollo de Software,162,1065,Septiembre- Diciembre,2019,,,,
Tecnólogo en Seguridad Informática,70,419,Septiembre- Diciembre,2019,,,,
Tecnólogo en Mecatrónica,45,359,Septiembre- Diciembre,2019,,,,
Tecnólogo en Redes de Información,39,274,Septiembre- Diciembre,2019,,,,
Tecnólogo en Sonido,1,80,Septiembre- Diciembre,2019,,,,
Tecnólogo en Diseño Industrial,6,5,Septiembre- Diciembre,2019,,,,
Tecnólogo en Mecatrónica,41,356,Enero - Abril,2020,,,,
Tecnólogo en Desarrollo de Software,174,1139,Enero - Abril,2020,,,,
Tecnólogo en Sonido,1,93,Enero - Abril,2020,,,,
Tecnólogo en Multimedia ,209,333,Enero - Abril,2020,,,,
Tecnólogo en Manufactura Automatizada,10,48,Enero - Abril,2020,,,,
Tecnólogo en Redes de Información,37,285,Enero - Abril,2020,,,,
Tecnólogo en Seguridad Informática,96,462,Enero - Abril,2020,,,,
Tecnólogo en Dispositivos Médicos,0,4,Enero - Abril,2020,,,,
Tecnólogo en Diseño Industrial,8,10,Enero - Abril,2020,,,,
Tecnólogo en Multimedia ,196,293,Mayo - Agosto,2020,,,,
Tecnólogo en Manufactura Automatizada,6,36,Mayo - Agosto,2020,,,,
Tecnólogo en Desarrollo de Software,149,960,Mayo - Agosto,2020,,,,
Tecnólogo en Seguridad Informática,78,414,Mayo - Agosto,2020,,,,
Tecnólogo en Mecatrónica,34,314,Mayo - Agosto,2020,,,,
Tecnólogo en Redes de Información,29,220,Mayo - Agosto,2020,,,,
Tecnólogo en Sonido,1,73,Mayo - Agosto,2020,,,,
Tecnólogo en Analítica y Ciencia de los Datos,6,22,Mayo - Agosto,2020,,,,
Tecnólogo en Diseño Industrial,8,14,Mayo - Agosto,2020,,,,
Tecnólogo en Dispositivos Médicos,4,21,Mayo - Agosto,2020,,,,
Tecnólogo en Analítica y Ciencia de los Datos,8,30,Septiembre- Diciembre,2020,,,,
Tecnólogo en Diseño Industrial,16,24,Septiembre- Diciembre,2020,,,,
Tecnólogo en Dispositivos Médicos,8,18,Septiembre- Diciembre,2020,,,,
Tecnólogo en Desarrollo de Software,146,1090,Septiembre- Diciembre,2020,,,,
Tecnólogo en Manufactura Automatizada,5,38,Septiembre- Diciembre,2020,,,,
Tecnólogo en Mecatrónica,39,350,Septiembre- Diciembre,2020,,,,
Tecnólogo en Multimedia,224,334,Septiembre- Diciembre,2020,,,,
Tecnólogo en Redes de Información,26,225,Septiembre- Diciembre,2020,,,,
Tecnólogo en Sonido,96,471,Septiembre- Diciembre,2020,,,,
Tecnólogo en Seguridad Informática,5,77,Septiembre- Diciembre,2020,,,,
Tecnólogo en Desarrollo de Simulaciones Interactivas y Videojuegos,5,29,Enero - Abril,2021,,,,
Tecnólogo en Energías Renovables,1,19,Enero - Abril,2021,,,,
Tecnólogo en Analítica y Ciencia de los Datos,17,54,Enero - Abril,2021,,,,
Tecnólogo en Diseño Industrial,23,34,Enero - Abril,2021,,,,
Tecnólogo en Dispositivos Médicos,13,19,Enero - Abril,2021,,,,
Tecnólogo en Desarrollo de Software,188,1483,Enero - Abril,2021,,,,
Tecnólogo en Telecomunicaciones,0,12,Enero - Abril,2021,,,,
Tecnólogo en Inteligencia Artificial,2,14,Enero - Abril,2021,,,,
Tecnólogo en Informática Forense,4,15,Enero - Abril,2021,,,,
Tecnólogo en Manufactura Automatizada,3,45,Enero - Abril,2021,,,,
Tecnólogo en Mecatrónica,48,425,Enero - Abril,2021,,,,
Tecnólogo en Multimedia,281,429,Enero - Abril,2021,,,,
Tecnólogo en Redes de Información,40,282,Enero - Abril,2021,,,,
Tecnólogo en Sonido,123,655,Enero - Abril,2021,,,,
Tecnólogo en Seguridad Informática,5,99,Enero - Abril,2021,,,,
Tecnólogo en Desarrollo de Simulaciones Interactivas y Videojuegos,7,41,Mayo - Agosto,2021,,,,99
Tecnólogo en Energías Renovables,2,14,Mayo - Agosto,2021,,,,
Tecnólogo en Analítica y Ciencia de los Datos,9,52,Mayo - Agosto,2021,,,,
Tecnólogo en Diseño Industrial,27,36,Mayo - Agosto,2021,,,,
Tecnólogo en Dispositivos Médicos,12,15,Mayo - Agosto,2021,,,,
Tecnólogo en Desarrollo de Software,183,1387,Mayo - Agosto,2021,,,,
Tecnólogo en Telecomunicaciones,1,17,Mayo - Agosto,2021,,,,
Tecnólogo en Inteligencia Artificial,2,16,Mayo - Agosto,2021,,,,
Tecnólogo en Informática Forense,8,17,Mayo - Agosto,2021,,,,
Tecnólogo en Manufactura Automatizada,2,41,Mayo - Agosto,2021,,,,
Tecnólogo en Mecatrónica,41,369,Mayo - Agosto,2021,,,,
Tecnólogo en Multimedia,269,402,Mayo - Agosto,2021,,,,
